ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO,QTD_OPR 
66,nan,56,nan,152,172,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,172
67,nan,69,nan,532,628,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,628
68,nan,170,nan,3,3,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,3
69,nan,18,nan,589,594,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,594
70,nan,67,nan,168,219,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,219
71,nan,46,nan,225,235,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,235
72,nan,88,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
73,nan,267,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
74,nan,331,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
75,nan,164,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
76,185373758.0,37,73014298.0,40,49,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,49
77,87190000.0,160,42605744.0,5,6,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,6
78,nan,14,nan,1047,1084,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,1084
79,nan,23,nan,110,118,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,118
80,nan,66,nan,691,822,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,822
81,nan,2,nan,53,57,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,57
82,nan,134,nan,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,1
83,nan,232,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
84,nan,259,nan,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,4
85,219317484.0,46,97030218.0,44,50,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,50
86,nan,6,nan,28322,33636,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,33636
87,nan,6,nan,395,634,67,B01,F,2020-01-16,2020-01-27 10:49:48.15,634
88,nan,80,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
89,nan,324,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
90,98580000.0,124,44417586.0,6,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,7
91,nan,115,nan,6,8,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,8
92,nan,160,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
93,nan,261,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
94,nan,23,nan,2,2,67,A05,F,2020-01-16,2020-01-27 10:49:48.15,2
95,nan,308,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
96,nan,7,nan,430,438,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,438
97,nan,333,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
98,nan,181,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
99,nan,24,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
100,nan,100,nan,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,1
101,nan,34,nan,159,161,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,161
102,nan,19,nan,457,470,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,470
103,nan,312,nan,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,4
104,nan,156,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
105,nan,341,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
106,nan,62,nan,3,3,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,3
107,nan,248,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
108,71855000.0,161,50496895.0,5,5,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,5
109,215600000.0,154,142200674.0,3,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,14
110,nan,36,nan,7196,7357,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,7357
111,nan,26,nan,224,233,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,233
112,nan,14,nan,10,10,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,10
113,nan,318,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
114,640162138.0,76,486123421.0,118,126,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,126
115,238085736.0,94,100766735.0,19,20,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,20
116,nan,9,nan,2419,2500,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,2500
117,nan,55,nan,652,709,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,709
118,nan,18,nan,212,214,67,A05,F,2020-01-16,2020-01-27 10:49:48.15,214
119,nan,66,nan,115,128,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,128
120,nan,65,nan,101,105,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,105
121,nan,101,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
122,nan,282,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
123,49800000.0,115,8972172.0,5,6,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,6
124,193720000.0,136,49314041.0,13,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,14
125,nan,274,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
126,622308846.0,52,300776070.0,109,140,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,140
127,nan,50,nan,449,476,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,476
128,nan,174,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
