ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
743,27862277007,2176,NMN,NMN
744,19980325675,1853,NMN,NMN
755,14220130845,3281,NMN,NMN
766,17682950520,2958,MMNPP MMP SM,MMNPP MMP SM
810,17565187644,3332,PRJJVSM SM PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTPS,PRJJVSM SM PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTPS
850,25735374282,2669,NMN,NMN
859,25269491543,1785,NMN,NMN
861,25568125936,2890,NMN,NMN
865,22963328187,1921,NMN,NMN
871,25162581773,3060,NMN,NMN
887,26748438350,3060,NMN,NMN
2,17968176180,3060,SJRMSM,SJRMSM JXPJRVMN
26,17220964079,1751,MMNPP VPTPRMNTVM,MMNPP VPTPRMNTVM
34,21862240499,2907,MMNPP PRJJVT MPRVPPLJ MRMSVL S.M.,MMNPP PRJJVT MPRVPPLJ MRMSVL S.M.
81,25118143977,1836,NMN,NMN
87,11901046588,1972,NMN,NMN
105,17765603364,13056,NMN,NMN
118,17765603364,165138,NMN,NMN
124,17765603364,238697,NMN,NMN
125,17765603364,250206,NMN,NMN
