ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
223,1413744650,3196,NMN,NMN
232,89307936,2159,NMN,NMN
286,204583967,1819,NMN,NMN
381,747785188,3383,NMN,NMN
383,763529041,3009,NMN,NMN
387,876672541,1955,NMN,NMN
411,1313263685,3145,NMN,NMN
421,2150251613,3366,NMN,NMN
435,9643963235,2159,NMN,NMN
447,628126183,3366,NMN,NMN
450,4812139578,3060,NMN,NMN
472,604921506,1853,NMN,NMN
521,1692596704,3060,NMN,NMN
522,1701802221,2040,NMN,NMN
586,3579251417,3060,NMN,NMN
651,1151773375,2482,NMN,NMN
672,2377798364,2108,NMN,NMN
704,740537068,2380,NMN,NMN
717,1056939470,1972,NMN,NMN
718,1492714767,2125,NMN,NMN
788,300274179,2516,NMN,NMN
793,5446599196,2584,NMN,NMN
797,7004047651,2244,NMN,NMN
825,1412145613,2176,NMN,NMN
846,7631966043,2550,NMN,NMN
857,2256774123,2040,NMN,NMN
858,897695557,3230,NMN,NMN
879,9750229402,2380,NMN,NMN
896,1083759826,3247,NMN,NMN
918,2735105248,1904,MVJWMY S.M PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTP,MVJWMY S.M PRJJVTP JVNMNPVMMJNTP J VNVJSTVMJNTP
928,693304064,3230,ZNVPRVMJ NPRTJ JP PMRMNÁ - PPPPJRMTVVM JJ PRÉJVTP LTJM,ZNVPRVMJ NPRTJ JP PMRMNÁ - PPPPJRMTVVM JJ PRÉJVTP LTJM
938,799568208,2346,NMN,NMN
945,1343777750,2380,NMN,NMN
952,841275243,1819,NMN,NMN
955,405111819,2601,NMN,NMN
966,1729374555,2907,NMN,NMN
1005,1257215025,2193,NMN,NMN
36,8389804963,2822,SPPTVMMMNK MRMSVL S.M.,SPPTVMMMNK MRMSVL S.M. MMNPP MZLTVPLP
49,104128145,1768,PMVXM JPPNÔMVPM JJJJRML,PMVXM JPPNÔMVPM JJJJRML
52,3718131523,3349,"MRVPKJLL S/M PRÉJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP","MRVPKJLL S/M PRÉJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP"
56,870534470,2873,NMN,NMN
59,332336417,3213,NMN,NMN
73,9116931564,2652,NMN,NMN
95,904273197,1819,NMN,NMN
101,667321230,2567,NMN,NMN
132,960315499,3230,NMN,NMN
148,3172930422,2669,NMN,NMN
158,5145367560,3383,NMN,NMN
169,4799896382,2380,NMN,NMN
176,4952951938,2533,NMN,NMN
178,5145257451,3213,NMN,NMN
206,6797919846,2091,PPMMJRZMMNK MRMSVL,PPMMJRZMMNK MRMSVL S.M. - MMNPP MZLTVPLP
220,9541206684,3332,NMN,NMN
226,7422512426,2788,NMN,NMN
230,1012115859,2805,NMN,NMN
392,7791534792,2431,NMN,NMN
400,1206494080,2108,NMN,NMN
404,1273441219,2193,NMN,NMN
414,1827888008,3247,NMN,NMN
426,6299422879,1717,NMN,NMN
428,501853124,2737,NMN,NMN
432,5742238682,1734,NMN,NMN
444,640732652,2584,NMN,NMN
487,944897060,2771,NMN,NMN
529,2051051496,1700,NMN,NMN
545,2610738722,1972,NMN,NMN
547,2767709361,3094,NMN,NMN
551,2602386044,2125,NMN,NMN
554,2723821532,3230,NMN,NMN
557,2768402961,3026,NMN,NMN
559,2982302554,2584,NMN,NMN
560,2940675572,2941,NMN,NMN
575,650475709,1802,NMN,NMN
583,1226452420,2567,NMN,NMN
599,650479466,3009,NMN,NMN
605,998002255,2380,NMN,NMN
654,1440857185,2584,NMN,NMN
664,801553638,2074,NMN,NMN
826,1402802532,3264,NMN,NMN
867,885798294,3179,NMN,NMN
877,1289980978,2312,NMN,NMN
944,1512032105,2346,NMN,NMN
975,1484171638,3315,NMN,NMN
1004,280704833,2244,NMN,NMN
1006,1297763459,2720,NMN,NMN
1012,1770639420,1785,NMN,NMN
1017,3040347048,2108,NMN,NMN
24,1416960931,2448,MMNPP JM MMMZPNVM - MMSM JVRJPMP PJRML,MMNPP JM MMMZPNVM SM
156,5375217352,3111,NMN,NMN
157,5145351087,1785,NMN,NMN
172,4952931130,2210,NMN,NMN
188,1209401131,1717,NMN,NMN
198,9835762131,2771,NMN,NMN
200,768287715,2601,MMNPP PMTJRPVLLMR,MMNPP PMTJRPVLLMR S.M.
236,9385241476,1734,NMN,NMN
238,9372337337,1870,NMN,NMN
274,497221032,3298,NMN,NMN
355,5481387571,2006,NMN,NMN
393,1053622328,1802,NMN,NMN
419,2324962806,3077,NMN,NMN
467,343320729,1870,NMN,NMN
479,275247935,2805,NMN,NMN
482,538739639,2550,NMN,NMN
486,962125506,1870,NMN,NMN
539,2332638646,1921,NMN,NMN
541,2526492332,2635,NMN,NMN
544,2555937386,1972,NMN,NMN
579,3441273280,1819,NMN,NMN
632,667321230,9945,NMN,NMN
697,864816894,2975,MMNPP PNV VNJZSTRVML PMPVTML S.M.,MMNPP PNV VNJZSTRVML PMPVTML S.M.
706,1384785405,2380,NMN,NMN
733,982788139,2839,NMN,NMN
794,2273774837,3009,NMN,NMN
868,9729822245,3128,NMN,NMN
869,1030763295,1870,NMN,NMN
929,371758329,1853,NMN,NMN
930,2208770067,3383,NMN,NMN
947,3774118048,2839,NMN,NMN
1007,1326006562,1717,NMN,NMN
1013,922063170,2346,NMN,NMN
1019,2543529171,2482,NMN,NMN
1024,2179698979,1751,NMN,NMN
1,9876194098,5406,SPP MRMSVL,PPNJJJJRMPMP NMPVPNML JVRVPJNTJS LPJVSTMS
84,1224612357,2465,NMN,NMN
99,1602617710,1819,NMN,NMN
164,2761244720,1819,NMN,NMN
213,1420062479,1836,MMNPMRM,MMNPP JP JSTMJP JP PMRM S M
234,30686020,3230,NMN,NMN
305,232369294,2771,NMN,NMN
407,1503841845,1717,NMN,NMN
415,2054254194,1734,NMN,NMN
436,8257383429,1751,NMN,NMN
513,1514827891,1717,NMN,NMN
525,1997122073,1870,NMN,NMN
561,2965797764,1700,NMN,NMN
567,1294208759,2822,NMN,NMN
606,6827230804,3315,NMN,NMN
678,4849345149,2584,NMN,NMN
692,1308399815,1921,NMN,NMN
712,5031867723,3196,NMN,NMN
714,442209304,2992,NMN,NMN
812,9543087496,2176,NMN,NMN
874,845318353,2040,NMN,NMN
940,2096005446,1700,NMN,NMN
965,334026489,3383,NMN,NMN
990,2738612552,2414,NMN,NMN
991,3038017419,2601,NMN,NMN
1009,2085317648,1887,NMN,NMN
1011,2100596211,2737,NMN,NMN
12,479285114,1836,PPPPJRJPRTJ,PPPPJRJPRTJ- PPPP JJ JPPN. J PRJJ. MZTZP JPS JZNPV.JJ VNSTVTZVPPJS JVNMNPJVRMS PZMLVPMS JJJJRMVS LTJ
18,4832391542,2295,SVPPPM PPPPSJJ,PPPPJRMTVVM JJ JPPNPMVM J PRJJVTP MZTZP JPS JZNP. JM SJPRJTMRVM JJ JSTMJP JM JMZJNJM JJ MP J PRPMPS
50,295811730,2720,RMMPMMNK VNTJRNMTVPNML MRMSVL S.M.,RMMPMMNK VNTJRNMTVPNML MRMSVL S.M.
61,110768209,1853,NMN,NMN
66,4966186693,1870,MMNPP MJRPMNTVL JP MRMSVL SM,MMNPP MJRPMNTVL JP MRMSVL SM
74,921958263,2550,NMN,NMN
102,1749965805,1700,NMN,NMN
181,5145173063,2482,NMN,NMN
210,73246472,1989,MMNPP NJPN S/M,MMNPP NJPN S/M
247,7400202493,2397,NMN,NMN
291,7346581144,2312,NMN,NMN
296,7535018392,1904,NMN,NMN
330,7406055610,2839,NMN,NMN
334,6319474566,1938,NMN,NMN
348,463844422,1768,NMN,NMN
378,707217680,2839,NMN,NMN
382,730635639,2414,NMN,NMN
438,450815146,2550,NMN,NMN
452,502679375,2210,NMN,NMN
465,645158687,2703,NMN,NMN
493,264709550,2482,NMN,NMN
503,1159806708,2550,NMN,NMN
504,1190862937,3298,NMN,NMN
549,2950579891,2788,NMN,NMN
556,2753322941,2414,NMN,NMN
580,1046403108,1938,NMN,NMN
628,872108653,2040,NMN,NMN
650,1044088796,8143,NMN,NMN
655,1571993825,1955,NMN,NMN
795,93607678,2873,NMN,NMN
800,8719849899,2023,NMN,NMN
834,5769153252,3315,NMN,NMN
853,9543557410,2363,NMN,NMN
875,2082554808,2363,NMN,NMN
933,3310126236,1819,NMN,NMN
953,1991268089,3366,NMN,NMN
973,779722289,3179,NMN,NMN
979,2544807418,1938,NMN,NMN
998,1335947873,2397,NMN,NMN
1000,2453140953,2431,NMN,NMN
1020,1332716564,1870,NMN,NMN
1022,2186049176,2737,NMN,NMN
14,9549181639,2737,MMNPP JJ LM NMPVPN MRPJNTVNM,MMNPP JJ LM NMPVPN MRPJNTVNM
35,9213558714,1972,MMNPP PZMNMMMRM S/M,MMNPP PZMNMMMRM S/M
53,4968618339,2890,NMN,NMN
57,637700753,3060,NMN,NMN
62,9727902996,1700,NMN,NMN
77,3830784012,2040,NMN,NMN
80,1196013495,2193,NMN,NMN
92,2324123550,2992,NMN,NMN
136,2427548269,2618,NMN,NMN
160,9556191912,1955,NMN,NMN
214,1745721551,2057,KRJJVLVP S.M,"KRJJVLVP S.M. - PRJJVTP, JVNMNPVMMJNTP J VNVJSTVMJNTP"
221,9711399073,2380,MMNPP RPJPMJNS,MMNPP RPJPMJNS S.M.
246,594641776,2839,NMN,NMN
266,7165769161,2482,NMN,NMN
288,401609139,3196,NMN,NMN
303,124238210,2567,NMN,NMN
318,6950134990,1734,NMN,NMN
351,6567441190,1785,NMN,NMN
403,1268330832,3060,NMN,NMN
437,578258655,3230,NMN,NMN
451,475192296,2380,NMN,NMN
459,374555560,3315,NMN,NMN
492,1041464387,2720,NMN,NMN
506,623955046,3196,NMN,NMN
532,2115154586,2210,NMN,NMN
563,1219353135,2703,NMN,NMN
569,882972741,2771,NMN,NMN
588,3906427450,3264,NMN,NMN
652,1151773375,3859,NMN,NMN
676,2333776728,2006,NMN,NMN
708,434931128,1785,NMN,NMN
740,1065061815,3213,NMN,NMN
789,315017803,3145,NMN,NMN
811,1756809614,3162,NMN,NMN
827,7631958529,1734,NMN,NMN
854,7667002380,2601,NMN,NMN
898,928505847,3043,NMN,NMN
910,2990624309,1751,NMN,NMN
981,886129777,2907,NMN,NMN
996,1231472639,2618,NMN,NMN
1001,534165058,2686,NMN,NMN
43,2415242360,2550,MMNPP PSJ S.M.,MMNPP PSJ S.M.
54,224264,1717,NMN,NMN
103,1012355729,3264,NMN,NMN
134,1308160812,3213,NMN,NMN
161,3140501732,3009,NMN,NMN
179,4952944713,2805,NMN,NMN
189,9788477107,3128,NMN,NMN
273,462787838,2040,NMN,NMN
275,604046414,2040,NMN,NMN
371,473367261,2720,NMN,NMN
390,970726146,1989,NMN,NMN
